Name,Description
"Pepperoni, beef and pork",High protein (19.2 g/100g)
"Spices, pepper",High fiber (25.3 g/100g)
"Strudel, apple",
"Crackers, milk",Iron (3.6 mg/100g)
"Potatoes, flesh and skin",Potassium (425 mg/100g)
"Pineapple, all varieties",Vitamin C (48 mg/100g)
"Grapefruit, pink and red",Vitamin C (31 mg/100g)
"Cream substitute, liquid",
"Tapioca, pearl",
"Beverages, tea",
"Mung beans, mature seeds",
"Sherbet, orange",
"Potato chips, reduced fat",High fiber (6.1 g/100g)
"Snacks, popcorn",High fiber (14.2 g/100g)
"Sausage, turkey",High protein (16.7 g/100g)
"Melons, honeydew",
Macaroni and Cheese,
Sweet potato leaves,
"Mortadella, beef",High protein (16.4 g/100g)
"Marmalade, orange",
"Jellies, no sugar",
"Light ice cream, Creamsicle",
"Frankfurter, beef",Vitamin C (24 mg/100g)
"Lemonade, white",
"Pickles, cucumber",High sodium (808 mg/100g)
"Light Ice Cream, soft serve",
"Peanut spread, reduced sugar",High protein (24.8 g/100g)
"Croissants, cheese",High fat (20.9 g/100g)
"Candies, peanut bar",High protein (15.5 g/100g)
"Cookies, shortbread",
"Lima beans, large",High fiber (7.0 g/100g)
"Balsam-pear, pods",Vitamin C (33 mg/100g)
"Crustaceans, shrimp",
"Ice cream bar, stick or nugget",High fat (25.3 g/100g)
"Braunschweiger, pork",Iron (11.2 mg/100g)
"Breakfast bars, oats",Iron (3.2 mg/100g)
"Toppings, strawberry",
"Soybean, curd cheese",Iron (5.6 mg/100g)
"Danish pastry, cheese",High fat (21.9 g/100g)
"Cheese spread, cream cheese base",High fat (28.6 g/100g)
Chicken patty,
"Chewing gum, sugarless",
"Creamy dressing, reduced calorie",High sodium (833 mg/100g)
"Gravy, beef",High sodium (633 mg/100g)
"Applesauce, sweetened",
Salisbury steak with gravy,
"Parmesan cheese topping, fat free",High protein (40.0 g/100g)
Sweet Potatoes,High fiber (5.7 g/100g)
"Cookie, butter or sugar",High fat (23.5 g/100g)
"Dressing, honey mustard",High sodium (1004 mg/100g)
"Ice cream cone, chocolate covered",High fat (21.9 g/100g)
"Oranges, all commercial varieties",Vitamin C (53 mg/100g)
Chili con carne with beans,
Cake,
"Tomato products, sauce",
Taro,Potassium (591 mg/100g)
Lard,High fat (100.0 g/100g)
Figs,
Okra,Vitamin C (23 mg/100g)
Kale,Vitamin C (93 mg/100g)
Lemon juice from concentrate,
Basil,Iron (3.2 mg/100g)
Syrup,
"Grapes, red or green (European type",
"Waterchestnuts, chinese",
Leeks,
Beets,
Plums,
"Frozen yogurts, vanilla",
"Cheese product, pasteurized process",High protein (16.1 g/100g)
Celery,
Mangos,Vitamin C (36 mg/100g)
"Potato puffs, unprepared",
"Salami, turkey",High protein (19.2 g/100g)
Chives,Vitamin C (58 mg/100g)
"Broadbeans, mature seeds",High fiber (5.4 g/100g)
Catsup,High sodium (907 mg/100g)
"Pork sausage, link/patty",High protein (20.9 g/100g)
"Apple juice, unsweetened",Vitamin C (30 mg/100g)
"Grape juice, unsweetened",Vitamin C (25 mg/100g)
"Egg substitute, fat free",
Yambean,Vitamin C (20 mg/100g)
Nopales,
Arugula,
Parsley,Vitamin C (133 mg/100g)
Turnips,Vitamin C (21 mg/100g)
Rhubarb,
"Imitation cheese, american or cheddar",High protein (25.0 g/100g)
"Focaccia, Italian flatbread",Iron (3.2 mg/100g)
Pumpkin,
Cassava,Vitamin C (21 mg/100g)
"Chili, no beans",
"School Lunch, chicken patty",High protein (17.6 g/100g)
"Bratwurst, pork",High fat (29.2 g/100g)
Litchis,Vitamin C (72 mg/100g)
Papayas,Vitamin C (61 mg/100g)
Kumquats,High fiber (6.5 g/100g)
Oat bran,High protein (17.3 g/100g)
Celeriac,
Collards,Vitamin C (35 mg/100g)
Kohlrabi,Vitamin C (62 mg/100g)
"Refried beans, traditional",
"Juice, apple and grape blend",Vitamin C (28 mg/100g)
Radishes,
Molasses,Calcium (205 mg/100g)
"Tomato and vegetable juice, low sodium",Vitamin C (28 mg/100g)
Apricots,
"Cowpeas, common (blackeyes",High fiber (6.5 g/100g)
"Salad dressing, honey mustard",High fat (40.8 g/100g)
"Chickpeas (garbanzo beans, bengal gram)",High protein (20.5 g/100g)
Frog legs,High protein (16.4 g/100g)
Tamarinds,High fiber (5.1 g/100g)
Rutabagas,Vitamin C (25 mg/100g)
Carambola,Vitamin C (34 mg/100g)
Radicchio,
Asparagus,
"Waffle, buttermilk",Calcium (299 mg/100g)
Tomatillos,
"Veggie burgers or soyburgers, unprepared",High protein (15.7 g/100g)
Nectarines,
"Pineapple juice, unsweetened",Vitamin C (44 mg/100g)
Vermicelli,
Clif Z bar,High fiber (8.3 g/100g)
Tangerines,Vitamin C (27 mg/100g)
"Pickle and pimiento loaf, pork",High sodium (1040 mg/100g)
"Pate, chicken liver",Iron (9.2 mg/100g)
"Carbonated beverage, cream soda",
"Pie fillings, apple",
Cranberries,
Fruit syrup,
Raspberries,High fiber (6.5 g/100g)
Ginger root,Potassium (415 mg/100g)
"Luncheon meat, pork",Vitamin C (43 mg/100g)
Blueberries,
"Turkey from whole, light meat",High protein (26.5 g/100g)
Taro leaves,Vitamin C (52 mg/100g)
Beet greens,Vitamin C (30 mg/100g)
Cauliflower,Vitamin C (48 mg/100g)
Pomegranates,
"Seeds, sesame butter",High protein (17.0 g/100g)
Burdock root,
