Name,Description
"Pepperoni, beef and pork",High protein (19.2 g/100g)
"Spices, pepper",High fiber (25.3 g/100g)
"Strudel, apple",
"Crackers, milk",Iron (3.6 mg/100g)
"Potatoes, flesh and skin",Potassium (425 mg/100g)
"Pineapple, all varieties",Vitamin C (48 mg/100g)
"Grapefruit, pink and red",Vitamin C (31 mg/100g)
"Cream substitute, liquid",
"Tapioca, pearl",
"Beverages, tea",
"Mung beans, mature seeds",
"Sherbet, orange",
"Potato chips, reduced fat",High fiber (6.1 g/100g)
"Snacks, popcorn",High fiber (14.2 g/100g)
"Sausage, turkey",High protein (16.7 g/100g)
"Melons, honeydew",
Macaroni and Cheese,
Sweet potato leaves,
"Mortadella, beef",High protein (16.4 g/100g)
"Marmalade, orange",
"Jellies, no sugar",
"Light ice cream, Creamsicle",
"Frankfurter, beef",Vitamin C (24 mg/100g)
"Lemonade, white",
"Pickles, cucumber",High sodium (808 mg/100g)
"Light Ice Cream, soft serve",
"Peanut spread, reduced sugar",High protein (24.8 g/100g)
"Croissants, cheese",High fat (20.9 g/100g)
"Candies, peanut bar",High protein (15.5 g/100g)
"Cookies, shortbread",
"Lima beans, large",High fiber (7.0 g/100g)
"Balsam-pear, pods",Vitamin C (33 mg/100g)
"Crustaceans, shrimp",
"Ice cream bar, stick or nugget",High fat (25.3 g/100g)
"Braunschweiger, pork",Iron (11.2 mg/100g)
"Breakfast bars, oats",Iron (3.2 mg/100g)
"Toppings, strawberry",
"Soybean, curd cheese",Iron (5.6 mg/100g)
"Danish pastry, cheese",High fat (21.9 g/100g)
"Cheese spread, cream cheese base",High fat (28.6 g/100g)
Chicken patty,
"Chewing gum, sugarless",
"Creamy dressing, reduced calorie",High sodium (833 mg/100g)
"Gravy, beef",High sodium (633 mg/100g)
"Applesauce, sweetened",
Salisbury steak with gravy,
"Parmesan cheese topping, fat free",High protein (40.0 g/100g)
Sweet Potatoes,High fiber (5.7 g/100g)
"Cookie, butter or sugar",High fat (23.5 g/100g)
"Dressing, honey mustard",High sodium (1004 mg/100g)
"Ice cream cone, chocolate covered",High fat (21.9 g/100g)
"Oranges, all commercial varieties",Vitamin C (53 mg/100g)
Chili con carne with beans,
Cake,
"Tomato products, sauce",
Taro,Potassium (591 mg/100g)
Lard,High fat (100.0 g/100g)
Figs,
Okra,Vitamin C (23 mg/100g)
Kale,Vitamin C (93 mg/100g)
Lemon juice from concentrate,
Basil,Iron (3.2 mg/100g)
Syrup,
"Grapes, red or green (European type",
"Waterchestnuts, chinese",
Leeks,
Beets,
Plums,
"Frozen yogurts, vanilla",
"Cheese product, pasteurized process",High protein (16.1 g/100g)
Celery,
Mangos,Vitamin C (36 mg/100g)
"Potato puffs, unprepared",
"Salami, turkey",High protein (19.2 g/100g)
Chives,Vitamin C (58 mg/100g)
"Broadbeans, mature seeds",High fiber (5.4 g/100g)
Catsup,High sodium (907 mg/100g)
"Pork sausage, link/patty",High protein (20.9 g/100g)
"Apple juice, unsweetened",Vitamin C (30 mg/100g)
"Grape juice, unsweetened",Vitamin C (25 mg/100g)
"Egg substitute, fat free",
Yambean,Vitamin C (20 mg/100g)
Nopales,
Arugula,
Parsley,Vitamin C (133 mg/100g)
Turnips,Vitamin C (21 mg/100g)
Rhubarb,
"Imitation cheese, american or cheddar",High protein (25.0 g/100g)
"Focaccia, Italian flatbread",Iron (3.2 mg/100g)
Pumpkin,
Cassava,Vitamin C (21 mg/100g)
"Chili, no beans",
"School Lunch, chicken patty",High protein (17.6 g/100g)
"Bratwurst, pork",High fat (29.2 g/100g)
Litchis,Vitamin C (72 mg/100g)
Papayas,Vitamin C (61 mg/100g)
Kumquats,High fiber (6.5 g/100g)
Oat bran,High protein (17.3 g/100g)
Celeriac,
Collards,Vitamin C (35 mg/100g)
Kohlrabi,Vitamin C (62 mg/100g)
"Refried beans, traditional",
"Juice, apple and grape blend",Vitamin C (28 mg/100g)
Radishes,
Molasses,Calcium (205 mg/100g)
"Tomato and vegetable juice, low sodium",Vitamin C (28 mg/100g)
Apricots,
"Cowpeas, common (blackeyes",High fiber (6.5 g/100g)
"Salad dressing, honey mustard",High fat (40.8 g/100g)
"Chickpeas (garbanzo beans, bengal gram)",High protein (20.5 g/100g)
Frog legs,High protein (16.4 g/100g)
Tamarinds,High fiber (5.1 g/100g)
Rutabagas,Vitamin C (25 mg/100g)
Carambola,Vitamin C (34 mg/100g)
Radicchio,
Asparagus,
"Waffle, buttermilk",Calcium (299 mg/100g)
Tomatillos,
"Veggie burgers or soyburgers, unprepared",High protein (15.7 g/100g)
Nectarines,
"Pineapple juice, unsweetened",Vitamin C (44 mg/100g)
Vermicelli,
Clif Z bar,High fiber (8.3 g/100g)
Tangerines,Vitamin C (27 mg/100g)
"Pickle and pimiento loaf, pork",High sodium (1040 mg/100g)
"Pate, chicken liver",Iron (9.2 mg/100g)
"Carbonated beverage, cream soda",
"Pie fillings, apple",
Cranberries,
Fruit syrup,
Raspberries,High fiber (6.5 g/100g)
Ginger root,Potassium (415 mg/100g)
"Luncheon meat, pork",Vitamin C (43 mg/100g)
Blueberries,
"Turkey from whole, light meat",High protein (26.5 g/100g)
Taro leaves,Vitamin C (52 mg/100g)
Beet greens,Vitamin C (30 mg/100g)
Cauliflower,Vitamin C (48 mg/100g)
Pomegranates,
"Seeds, sesame butter",High protein (17.0 g/100g)
Burdock root,
Blackberries,High fiber (5.3 g/100g)
Phyllo dough,Iron (3.2 mg/100g)
Strawberries,Vitamin C (59 mg/100g)
Breakfast bar,Iron (4.9 mg/100g)
"Leavening agents, cream of tartar",Potassium (16500 mg/100g)
Blood sausage,Iron (6.4 mg/100g)
Candied fruit,
"Dip, bean",
Mustard greens,Vitamin C (70 mg/100g)
Dulce de Leche,Calcium (251 mg/100g)
"Ravioli, cheese-filled",
"Veal, leg",High protein (21.0 g/100g)
Hearts of palm,Potassium (1806 mg/100g)
Tangerine juice,Vitamin C (31 mg/100g)
"Turnover, cheese-filled",Calcium (276 mg/100g)
Coriander leaves,Vitamin C (27 mg/100g)
"Bulgur, dry",High fiber (12.5 g/100g)
Dove,High protein (23.9 g/100g)
"Margarine-like, vegetable oil spread",High fat (59.8 g/100g)
Dandelion greens,Vitamin C (35 mg/100g)
"Ham, sliced",High protein (16.7 g/100g)
Tofu,High protein (18.8 g/100g)
"Rolls, hard",Iron (3.3 mg/100g)
Ham salad spread,High sodium (1075 mg/100g)
"Macaroni or noodles with cheese, microwa",Calcium (328 mg/100g)
Brussels sprouts,Vitamin C (85 mg/100g)
"Chard, swiss",Vitamin C (30 mg/100g)
"Lamb, ground",High protein (16.6 g/100g)
"Pasta mix, classic beef",High sodium (1537 mg/100g)
"Taquitos, beef and cheese",
"Rice mix, cheese flavor",Iron (4.7 mg/100g)
"Cheese puffs and twists, corn based",Vitamin C (21 mg/100g)
"Fennel, bulb",Potassium (414 mg/100g)
"Fat free ice cream, flavors other than c",High fiber (7.4 g/100g)
Vegetarian fillets,High protein (23.0 g/100g)
"Seaweed, kelp",
Capers,High sodium (2348 mg/100g)
"Kefir, lowfat",
Jams and preserves,
"Cress, garden",Vitamin C (69 mg/100g)
"Turtle, green",High protein (19.8 g/100g)
Millet,
"Bagels, plain",Iron (3.6 mg/100g)
Quinoa,
"Raisins, dark",Potassium (744 mg/100g)
"Vinegar, cider",
"Guavas, common",High fiber (5.4 g/100g)
"Snack, Pretzel",
"Squash, summer",
Pimento,Vitamin C (85 mg/100g)
"Fruit juice smoothie, strawberry banana",
"Chayote, fruit",
"Pretzels, soft",Iron (3.9 mg/100g)
"Mollusks, clam",
Yeast extract spread,High protein (23.9 g/100g)
"Cherries, sweet",
Kielbasa,High fat (29.7 g/100g)
"Butter replacement, powder",High sodium (1200 mg/100g)
Couscous,
"Tart, breakfast",Iron (3.4 mg/100g)
"Jams, preserves",
"Game meat, deer",High protein (21.8 g/100g)
"Biscuits, plain or buttermilk",High sodium (1002 mg/100g)
"Sweetener, syrup",
"Muffins, English",Iron (4.0 mg/100g)
"Kiwifruit, green",Vitamin C (75 mg/100g)
"Margarine, spread",High fat (38.0 g/100g)
"Plantains, yellow",Potassium (487 mg/100g)
"Wheat bran, crude",High protein (15.6 g/100g)
"Granola bar, soft",High fat (31.2 g/100g)
"Croutons, seasoned",High fiber (5.0 g/100g)
Vitamin D as ingredient,
"Dates, deglet noor",High fiber (8.0 g/100g)
Prune juice,
Guava sauce,Vitamin C (146 mg/100g)
Guava nectar,Vitamin C (21 mg/100g)
"Meatballs, meatless",High protein (21.0 g/100g)
"Thuringer, cervelat",High protein (17.4 g/100g)
Mango nectar,
Miso,High fiber (5.4 g/100g)
"Frozen novelties, ice cream type",Calcium (252 mg/100g)
Papad,High protein (25.6 g/100g)
"Persimmons, japanese",
Natto,High protein (19.4 g/100g)
Papaya nectar,
"Pickle relish, sweet",High sodium (811 mg/100g)
Turnip greens,
"Sweeteners, tabletop",
"Bacon bits, meatless",High protein (32.0 g/100g)
Canadian bacon,High protein (28.3 g/100g)
Apricot nectar,Vitamin C (30 mg/100g)
Wasabi,High fiber (6.1 g/100g)
"Dumpling, potato- or cheese-filled",
"Passion-fruit, purple",High fiber (10.4 g/100g)
"Shortening, vegetable",High fat (100.0 g/100g)
"Pie Crust, Cookie-type",Iron (4.3 mg/100g)
"Cinnamon buns, frosted",High fat (26.6 g/100g)
"Knackwurst, knockwurst",High fat (27.7 g/100g)
Guanabana nectar,
"Mayonnaise, reduced fat",High fat (40.0 g/100g)
"Toaster Pastries, fruit",Iron (4.3 mg/100g)
Zwieback,
Blackberry juice,
"Alfalfa seeds, sprouted",
"Olives, ripe",Iron (3.3 mg/100g)
"Animal fat, bacon grease",High fat (99.5 g/100g)
"Salad Dressing, coleslaw",High fat (20.0 g/100g)
"Tortellini, as purchased",
"Yam, drained",Potassium (670 mg/100g)
"Luncheon slices, meatless",High protein (17.8 g/100g)
"Baking chocolate, mexican",
Vegetarian meatloaf or patties,High protein (21.0 g/100g)
"Hominy, white",
"Pomegranate juice, bottled",
"Ostrich, ground",High protein (26.1 g/100g)
"Passion-fruit juice, purple",Vitamin C (30 mg/100g)
"Waffles, lowfat",Iron (6.4 mg/100g)
"Potsticker or wonton, pork and vegetable",
Soy sauce made from soy and wheat,Potassium (435 mg/100g)
"Cranberry juice, unsweetened",
"Salsify, drained",
"Escarole, drained",
"Waxgourd, drained",
"Parsnips, drained",
Chocolate-flavored hazelnut spread,High fiber (5.4 g/100g)
"Duck, domesticated",High protein (19.0 g/100g)
"Yellow rice with seasoning, dry packet m",Potassium (801 mg/100g)
"Goose, domesticated",High protein (25.2 g/100g)
"Artichokes, drained",High fiber (5.7 g/100g)
"Lotus root, drained",Vitamin C (27 mg/100g)
"Quail, total edible",High protein (25.1 g/100g)
"Rice and vermicelli mix, rice pilaf flav",High sodium (1303 mg/100g)
"Macaroni, vegetable",
"Tortillas, ready-to-bake or -fry",High fiber (9.8 g/100g)
"Cranberry juice blend, 100% juice",Vitamin C (32 mg/100g)
"Pancakes, gluten-free",
"Whey, acid",Calcium (2054 mg/100g)
"Pheasant, total edible",High protein (32.4 g/100g)
"Avocados, all commercial varieties",High fiber (6.7 g/100g)
"Lambsquarters, drained",Vitamin C (37 mg/100g)
"Whipped topping, low fat",
"Pumpkin flowers, drained",
"Pokeberry shoots, drained",Vitamin C (82 mg/100g)
"Cranberry sauce, sweetened",
"Fluid replacement, electrolyte solution",
"Dessert topping, semi solid",High fat (25.3 g/100g)
"Currants, zante",Potassium (777 mg/100g)
"Maraschino cherries, drained",
"Mango, sweetened",Vitamin C (42 mg/100g)
"Puddings, vanilla",High sodium (1400 mg/100g)
"Cocoa, dry powder",High protein (19.6 g/100g)
"Vegetables, mixed",
"Bamboo shoots, drained solids",
Macaroni and cheese dinner with dry sauce mix,High sodium (680 mg/100g)
"Pancakes plain, ready-to-heat",Iron (5.7 mg/100g)
"Sauerkraut, solids and liquids",High sodium (661 mg/100g)
"Gelatins, dry powder",High protein (85.6 g/100g)
"Shortening industrial, soybean and cotto",High fat (100.0 g/100g)
"Pie crust, standard-type",High fat (28.6 g/100g)
"Puff pastry, ready-to-bake",High fat (38.5 g/100g)
"Strawberry-flavor beverage mix, powder",
"Beverage, instant breakfast powder",High protein (35.8 g/100g)
"Egg, yolk",High protein (15.9 g/100g)
"Fish, eel",High protein (18.4 g/100g)
"Egg, duck",Iron (3.9 mg/100g)
"Fish, pike",High protein (19.3 g/100g)
"Fish, carp",High protein (17.8 g/100g)
"Fish, scup",High protein (18.9 g/100g)
"Milk, goat",
"Fish, tuna",High protein (24.4 g/100g)
"Bread, rye",High fiber (5.8 g/100g)
"Egg, quail",Iron (3.6 mg/100g)
"Egg, goose",Iron (3.6 mg/100g)
"Egg, white",
"Beef, cured",High protein (21.8 g/100g)
"Fish, shark",High protein (21.0 g/100g)
"Fish, trout",High protein (19.9 g/100g)
"Milk, human",
"Beef, flank",High protein (21.7 g/100g)
"Fish, perch",High protein (19.4 g/100g)
"Bread, pita",
"Bread, roll",Iron (3.9 mg/100g)
"Beef, chuck",High protein (22.3 g/100g)
"Rice, white",Iron (4.3 mg/100g)
"Beef, round",High protein (23.6 g/100g)
"Milk, fluid",Calcium (204 mg/100g)
"Beans, snap",
"Pork, cured",High fat (37.1 g/100g)
"Milk, lowfat",
"Bread, wheat",High fiber (5.3 g/100g)
"Beans, pinto",High protein (21.4 g/100g)
"Pears, asian",
"Milk, nonfat",
"Cabbage, red",Vitamin C (57 mg/100g)
"Beans, black",High protein (21.6 g/100g)
"Cheese, blue",High protein (21.4 g/100g)
"Fish, caviar",High protein (24.6 g/100g)
"Cheese, brie",High protein (20.8 g/100g)
"Beef, ground",High protein (15.8 g/100g)
"Fish, mullet",High protein (19.4 g/100g)
"Fish, salmon",High protein (22.2 g/100g)
Pasta,
"Cream, fluid",High fat (36.1 g/100g)
"Cheese, feta",Calcium (493 mg/100g)
"Cheese, gouda",High protein (24.9 g/100g)
"Fish, haddock",High protein (16.3 g/100g)
"Bread, cheese",High fat (20.8 g/100g)
"Cheese, swiss",High protein (27.0 g/100g)
"Cheese, cream",
"Fish, croaker",High protein (17.8 g/100g)
"Yogurt, plain",
"Cheese, brick",High protein (23.2 g/100g)
"Cheese, colby",High protein (23.8 g/100g)
"Cheese, Swiss",High protein (28.4 g/100g)
"Butter, light",High fat (55.1 g/100g)
"Fish, catfish",High protein (15.2 g/100g)
"Nuts, almonds",High protein (21.1 g/100g)
"Bread, potato",High fiber (6.3 g/100g)
"Fish, snapper",High protein (20.5 g/100g)
"Bread, crumbs",Iron (4.8 mg/100g)
"Fish, tilapia",High protein (20.1 g/100g)
"Fish, pompano",High protein (18.5 g/100g)
"Fish, pollock",
"Bread, sticks",Iron (4.3 mg/100g)
"Fish, whiting",High protein (18.3 g/100g)
"Nuts, walnuts",High protein (15.2 g/100g)
"Fish, halibut",High protein (18.6 g/100g)
"Fish, herring",High protein (24.6 g/100g)
"Fish, sea bass",High protein (18.4 g/100g)
"Butter, salted",High fat (81.1 g/100g)
"Bread, protein",Iron (4.2 mg/100g)
"Pork, enhanced",High protein (20.4 g/100g)
"Fish, flatfish",
"Cabbage, savoy",Vitamin C (31 mg/100g)
"Cream, whipped",High fat (22.2 g/100g)
"Fish, mackerel",High protein (20.1 g/100g)
"Fish, sturgeon",High protein (31.2 g/100g)
"Pork, shoulder",High protein (17.4 g/100g)
"Water, bottled",
"Bread, oatmeal",
"Bread, Italian",Iron (3.5 mg/100g)
"Cheese, cottage",
"Fish, swordfish",High protein (19.7 g/100g)
"Cheese, fontina",High protein (25.6 g/100g)
"Cheese, gruyere",High protein (29.8 g/100g)
"Fish, whitefish",High protein (19.1 g/100g)
"Cheese, cheddar",High protein (32.1 g/100g)
"Cabbage, kimchi",
"Tomatoes, green",Vitamin C (23 mg/100g)
"Cheese, ricotta",Calcium (272 mg/100g)
